SNR_dB	RollOff	MSE
4	0.30	1.823919e+00
4	0.35	1.744673e+00
4	0.40	1.815469e+00
4	0.45	1.865993e+00
4	0.50	1.911515e+00
4	0.55	1.747542e+00
4	0.60	1.914817e+00
4	0.65	1.831117e+00
4	0.70	1.832803e+00
4	0.75	1.737797e+00
4	0.80	1.773523e+00
4	0.85	1.884793e+00
4	0.90	1.871852e+00
4	0.95	1.882392e+00
4	1.00	1.762869e+00

5	0.00	3.281349e+00
5	0.05	3.266801e+00
5	0.10	2.298073e+00
5	0.15	1.563260e+00
5	0.20	1.533761e+00
5	0.25	1.583246e+00
5	0.30	1.498006e+00
5	0.35	1.517601e+00
5	0.40	1.556166e+00
5	0.45	1.470269e+00
5	0.50	1.539568e+00
5	0.55	1.490736e+00
5	0.60	1.517327e+00
5	0.65	1.494752e+00
5	0.70	1.568229e+00
5	0.75	1.531785e+00
5	0.80	1.492475e+00
5	0.85	1.568902e+00
5	0.90	1.623530e+00
5	0.95	1.443166e+00
5	1.00	1.566618e+00

6	0.00	3.078124e+00
6	0.05	3.201816e+00
6	0.10	2.113804e+00
6	0.15	1.364354e+00
6	0.20	1.322017e+00
6	0.25	1.353655e+00
6	0.30	1.308387e+00
6	0.35	1.289152e+00
6	0.40	1.271382e+00
6	0.45	1.236800e+00
6	0.50	1.230301e+00
6	0.55	1.293146e+00
6	0.60	1.267614e+00
6	0.65	1.291914e+00
6	0.70	1.265246e+00
6	0.75	1.261090e+00
6	0.80	1.233556e+00
6	0.85	1.286034e+00
6	0.90	1.270281e+00
6	0.95	1.342454e+00
6	1.00	1.271336e+00

7	0.00	2.821366e+00
7	0.05	3.010872e+00
7	0.10	2.054447e+00
7	0.15	1.178479e+00
7	0.20	1.114344e+00
7	0.25	1.153306e+00
7	0.30	1.110261e+00
7	0.35	1.047952e+00
7	0.40	1.049918e+00
7	0.45	1.087144e+00
7	0.50	1.104090e+00
7	0.55	1.084949e+00
7	0.60	1.050608e+00
7	0.65	1.106635e+00
7	0.70	1.074923e+00
7	0.75	1.066772e+00
7	0.80	1.119368e+00
7	0.85	1.104579e+00
7	0.90	1.071506e+00
7	0.95	1.108574e+00
7	1.00	1.030811e+00

8	0.00	2.641053e+00
8	0.05	2.853380e+00
8	0.10	1.770313e+00
8	0.15	1.070682e+00
8	0.20	9.573650e-01
8	0.25	9.926008e-01
8	0.30	9.685675e-01
8	0.35	9.428851e-01
8	0.40	9.804858e-01
8	0.45	9.476170e-01
8	0.50	9.330834e-01
8	0.55	9.267850e-01
8	0.60	9.119855e-01
8	0.65	9.438984e-01
8	0.70	9.155397e-01
8	0.75	9.113573e-01
8	0.80	9.136668e-01
8	0.85	9.291028e-01
8	0.90	9.188885e-01
8	0.95	9.195437e-01
8	1.00	9.284887e-01

9	0.00	2.569846e+00
9	0.05	2.659766e+00
9	0.10	1.637461e+00
9	0.15	9.378123e-01
9	0.20	8.554361e-01
9	0.25	8.646479e-01
9	0.30	8.326563e-01
9	0.35	8.241885e-01
9	0.40	8.252016e-01
9	0.45	8.515789e-01
9	0.50	8.202207e-01
9	0.55	8.060535e-01
9	0.60	8.242675e-01
9	0.65	8.084334e-01
9	0.70	8.156910e-01
9	0.75	8.149073e-01
9	0.80	8.313761e-01
9	0.85	7.936708e-01
9	0.90	8.034932e-01
9	0.95	8.238871e-01
9	1.00	7.979658e-01

10	0.00	2.596705e+00
10	0.05	2.604551e+00
10	0.10	1.586399e+00
10	0.15	8.456972e-01
10	0.20	7.119377e-01
10	0.25	7.834362e-01
10	0.30	7.234798e-01
10	0.35	6.896253e-01
10	0.40	7.396978e-01
10	0.45	7.112347e-01
10	0.50	7.079081e-01
10	0.55	7.598892e-01
10	0.60	7.012061e-01
10	0.65	7.169405e-01
10	0.70	7.234972e-01
10	0.75	7.191680e-01
10	0.80	7.144808e-01
10	0.85	7.332113e-01
10	0.90	7.091496e-01
10	0.95	7.518968e-01
10	1.00	7.179578e-01

11	0.00	2.485187e+00
11	0.05	2.532286e+00
11	0.10	1.476798e+00
11	0.15	7.723450e-01
11	0.20	6.545436e-01
11	0.25	7.112925e-01
11	0.30	6.568220e-01
11	0.35	6.366088e-01
11	0.40	6.585983e-01
11	0.45	6.491301e-01
11	0.50	6.407475e-01
11	0.55	6.540756e-01
11	0.60	6.563878e-01
11	0.65	6.659508e-01
11	0.70	6.458008e-01
11	0.75	6.566489e-01
11	0.80	6.362714e-01
11	0.85	6.487942e-01
11	0.90	6.369681e-01
11	0.95	6.662552e-01
11	1.00	6.440420e-01

12	0.00	2.398199e+00
12	0.05	2.504706e+00
